"PlayerID","Name"
19946,Ephraim Hogan
19958,Wheater David
19959,Adam Johnson 
20066,Hennessey Wayne
20141,Dorrans Graham
20208,Adam Charlie
20226,Dempsey Clint
20298,Pavlyuchenko Roman
20312,TÃ©vez Carlos
20359,Samba Christopher
20450,Doyle Kevin
20452,Long Shane
20467,Walcott Theo
20480,Krul Tim
20481,Ireland Stephen
20488,Traore Armand
20492,Richards Micah
20531,Westwood Keiren
20589,Orlandi Andrea
20658,Zabaleta Pablo
20664,Silva David
20695,Antonio Valencia 
21060,GutiÃ©rrez JonÃ¡s
21083,Dyer Nathan
21091,Song Alexandre
21094,Agger Daniel
26725,JosÃ© Enrique 
26756,Doni 
26793,Skrtel Martin
26900,Odemwingie Peter
27258,Anderson 
27341,Cabaye Yohan
27348,Tamas Gabriel
27440,Cox Simon
27450,Agbonlahor Gabriel
27696,Muamba Fabrice
27697,Bendtner Nicklas
27698,Connolly Matthew
27707,Gibson Darron
28097,Kranjcar Niko
28146,Assou-Ekotto Benoit
28147,DiamÃ© Mohamed
28157,Goodwillie David
28183,Steinsson GrÃ©tar
28301,Cheik TiotÃ© 
28342,Gecov Marcel
28448,Cattermole Lee
28468,Gardner Craig
28491,Al-Habsi Ali
28495,Mikel John Obi
28499,Hoolahan Wes
28541,Campbell Fraizer
28554,Nasri Samir
28566,Abou Diaby Vassiriki
28568,O'Hara Jamie
28593,Anichebe Victor
28654,Martin Olsson 
32317,Beckford Jermaine
32318,Wilson Marc
33223,Gyan Asamoah
33298,Beausejour Jean
34285,Figueroa Maynor
34296,Palacios Wilson
34392,Sessegnon StÃ©phane
35865,Modeste Anthony
36903,Bale Gareth
36968,Park Chu-Young 
37055,Modric Luka
37084,Ruiz Bryan
37269,Jara Gonzalo
37334,Rodallega Hugo
37339,Elmohamady Ahmed
37352,Kalou Salomon
37572,AgÃ¼ero Sergio
37634,HilÃ¡rio Henrique
37639,Guthrie Danny
37642,Evans Jonny
37742,Kaboul Younes
37748,Sagna Bacary
37847,Zubar Ronald
37869,Shawcross Ryan
37939,Marveaux Sylvain
38251,de Vries Dorus
38290,Rose Danny
38297,Howson Jonathan
38328,Ngog David
38429,Obertan Gabriel
38462,Corluka Vedran
38530,Nani 
39104,DembÃ©lÃ© Moussa
39202,Drenthe Royston
39215,Vorm Michel
39217,Agustien Kemy
39253,Jonas Olsson 
39336,SuÃ¡rez Luis
39439,Pogrebnyak Pavel
39464,Moras Vangelis
39725,Lindegaard Anders
39765,Taarabt Adel
39776,Martin Chris
39895,Mulumbu Youssuf
39982,Maierhofer Stefan
40142,Carroll Andy
40146,Bertrand Ryan
40204,Morison Steve
40231,JÃ³nsson Eggert GunnthÃ³r
40275,dos Santos Giovani
40349,Begovic Asmir
40387,Gosling Dan
40399,Vokes Sam
40451,Pilkington Anthony
40501,Blackman Nick
40555,Allen Joe
40564,Lansbury Henri
40616,Ward Stephen
40660,Hammill Adam
40725,Simpson Danny
40755,Sturridge Daniel
41135,Ivanovic Branislav
41184,Fellaini Marouane
41208,Milijas Nenad
41262,Elliott Bennett 
41270,David Luiz 
41705,Guzan Brad
41727,Ryan Bennett 
41792,Ramsey Aaron
41823,Delph Fabian
42425,Briggs Matthew
42427,Gibbs Kieran
42428,Hutchinson Sam
42493,Balotelli Mario
42518,Kacaniklic Alexander
42544,Dzeko Edin
42593,Kolarov Aleksandar
42744,Bassong SÃ©bastien
42758,CissÃ© Papiss Demba
42996,Rangel Angel
43020,HernÃ¡ndez Javier
43035,Alcaraz Antolin
43191,Lucas Leiva 
43250,Cleverley Tom
43274,Gervinho 
43670,Mata Juan
44302,GuÃ©dioura AdlÃ¨ne
45139,Lichaj Eric
45158,Shotton Ryan
45175,Bogdan Adam
46581,SÃ¡ Orlando
46695,de Laet Ritchie
47390,Taylor Neil
47412,Ba Demba
48730,Piscu 
49013,Moses Victor
49323,N'Zonzi Steven
49384,Rodwell Jack
49493,Herd Chris
49539,Naughton Kyle
49724,Di Santo Franco
49806,Hoilett Junior
49944,Livermore Jake
50023,Jordi GÃ³mez 
50175,Welbeck Danny
50232,Shelvey Jonjo
50264,Rudd Declan
50471,McArthur James
50472,McCarthy James
51484,Delfouneso Nathan
51507,Koscielny Laurent
51511,Bessone Federico
51887,Marcus Olsson 
51922,Amos Ben
51938,Albrighton Marc
51940,De Gea David
52477,Baker Nathan
52876,Sandro 
53238,Bruno Perone 
53371,Meyler David
53392,Ramires 
